"","X","ORIGIN_AIRPORT","DAY_OF_WEEK","LATITUDE","LONGITUDE","mean_delay","delay"
"1",1,"ABE",7,40.65236,-75.4404,9.07356948228883,-1
"2",2,"ABE",4,40.65236,-75.4404,6.47272727272727,-1
"3",3,"ABE",3,40.65236,-75.4404,4.63313609467456,-1
"4",4,"ABE",1,40.65236,-75.4404,7.38611111111111,-1
"5",5,"ABE",2,40.65236,-75.4404,7.14794520547945,-1
"6",15,"ABE",6,40.65236,-75.4404,0.642105263157895,-1
"7",22,"ABE",5,40.65236,-75.4404,5.40072202166065,-1
"8",2275,"ABI",6,32.41132,-99.6819,6.15644171779141,-1
"9",2276,"ABI",3,32.41132,-99.6819,1.82388059701493,-1
"10",2280,"ABI",2,32.41132,-99.6819,2.99410029498525,-1
"11",2281,"ABI",7,32.41132,-99.6819,3.97553516819572,-1
"12",2282,"ABI",1,32.41132,-99.6819,-0.185758513931889,-1
"13",2289,"ABI",4,32.41132,-99.6819,0.896946564885496,-1
"14",2294,"ABI",5,32.41132,-99.6819,6.87147335423198,-1
"15",4604,"ABQ",2,35.04022,-106.60919,7.42322626191317,-1
"16",4605,"ABQ",1,35.04022,-106.60919,3.3910071942446,-1
"17",4606,"ABQ",4,35.04022,-106.60919,3.42051100070972,-1
"18",4607,"ABQ",6,35.04022,-106.60919,4.81189882436765,-1
"19",4608,"ABQ",7,35.04022,-106.60919,6.31419284940412,-1
"20",4622,"ABQ",5,35.04022,-106.60919,2.31743869209809,-1
"21",4634,"ABQ",3,35.04022,-106.60919,5.17386489479513,-1
"22",23796,"ABR",2,45.44906,-98.42183,20.3052631578947,1
"23",23797,"ABR",4,45.44906,-98.42183,7.97916666666667,-1
"24",23798,"ABR",5,45.44906,-98.42183,5.57446808510638,-1
"25",23800,"ABR",6,45.44906,-98.42183,3.57446808510638,-1
"26",23802,"ABR",7,45.44906,-98.42183,16.8191489361702,1
"27",23803,"ABR",1,45.44906,-98.42183,12.0322580645161,1
"28",23805,"ABR",3,45.44906,-98.42183,3.24742268041237,-1
"29",24467,"ABY",7,31.53552,-84.19447,11.3093525179856,1
"30",24468,"ABY",1,31.53552,-84.19447,8.45081967213115,-1
"31",24469,"ABY",3,31.53552,-84.19447,2.72131147540984,-1
